id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
PACS1,4,0.70034,0.48132,0.722174,12924,0,-0.091046,0.71025,0.84244,1,13187,0,-0.091046
ERAL1,4,0.70038,0.48132,0.722174,12925,0,0.14647,0.0036879,0.025605,1,248,2,0.14647
NLGN3,4,0.7004,0.48132,0.722174,12926,0,-0.041298,0.58097,0.72717,1,10824,1,-0.041298
MROH1,4,0.70042,0.48132,0.722174,12927,0,0.065437,0.031102,0.13824,1,1501,2,0.065437
STARD9,4,0.70051,0.48133,0.722174,12928,0,0.060649,0.33867,0.53563,1,7266,1,0.060649
NETO1,4,0.70059,0.48133,0.722174,12929,0,0.081387,0.093357,0.2801,1,3071,2,0.081387
DIRC2,4,0.70068,0.48133,0.722174,12930,0,0.030379,0.25128,0.47222,1,6240,1,0.030379
CLSTN3,4,0.7007,0.48133,0.722174,12931,0,0.041559,0.61103,0.74427,1,11344,1,0.041559
CD226,3,0.70086,0.50706,0.733458,12932,0,-0.0090196,0.65973,0.80127,1,12225,0,-0.0090196
UCN2,4,0.701,0.48377,0.723629,12933,0,-0.038568,0.90231,0.96865,1,16844,0,-0.038568
SLC35F6,4,0.70102,0.48377,0.723629,12934,0,-0.032316,0.64396,0.78138,1,11937,0,-0.032316
MFSD3,4,0.70104,0.48377,0.723629,12935,0,0.14772,0.10901,0.30242,1,3448,2,0.14772
CCDC171,4,0.70112,0.48377,0.723629,12936,0,0.0039278,0.28985,0.50243,1,6646,1,0.0039278
C17orf107,4,0.70114,0.48377,0.723629,12937,0,0.12101,0.062417,0.20126,1,2329,2,0.12101
ASTL,4,0.70117,0.48377,0.723629,12938,0,-0.024136,0.78548,0.89786,1,14574,0,-0.024136
CIAPIN1,4,0.70123,0.48377,0.723629,12939,0,0.035446,0.56258,0.71145,1,10495,1,0.035446
LOC100996693,4,0.70125,0.48377,0.723629,12940,0,-0.0033436,0.028424,0.12843,1,1395,1,-0.0033436
WTAP,4,0.70131,0.48377,0.723629,12941,0,0.016422,0.81657,0.91874,1,15192,0,0.016422
RSPH10B,4,0.70133,0.48377,0.723629,12942,0,0.012597,0.66347,0.80621,1,12299,0,0.012597
RILPL1,4,0.70138,0.48377,0.723629,12943,0,-0.022997,0.94395,0.98552,1,17690,0,-0.022997
ADAM28,4,0.70142,0.48377,0.723629,12944,0,0.12917,0.066032,0.21596,1,2422,2,0.12917
FPR3,4,0.70146,0.48377,0.723629,12945,0,0.15845,0.080904,0.2548,1,2767,2,0.15845
KCNIP1,3,0.70148,0.50707,0.733458,12946,0,0.14184,0.3294,0.47674,1,7149,1,0.14184
APAF1,4,0.70153,0.48377,0.723629,12947,0,-0.043801,0.96492,0.99211,1,18098,0,-0.043801
SSTR3,4,0.70161,0.48377,0.723629,12948,0,-0.025701,0.55381,0.69568,1,10341,1,-0.025701
IQSEC1,4,0.70167,0.48377,0.723629,12949,0,0.043953,0.06859,0.2223,1,2488,1,0.043953
NTNG2,4,0.70169,0.48377,0.723629,12950,0,0.047129,0.25976,0.48235,1,6336,1,0.047129
NUP54,4,0.70182,0.48626,0.723629,12951,0,0.0086218,0.4412,0.62591,1,8631,1,0.0086218
UBL7,4,0.70186,0.48626,0.723629,12952,0,-0.055272,0.36179,0.5499,1,7555,1,-0.055272
DKK1,4,0.70188,0.48626,0.723629,12953,0,0.066986,0.61532,0.74716,1,11428,1,0.066986
METTL21C,4,0.70191,0.48626,0.723629,12954,0,0.031263,0.41984,0.60157,1,8314,1,0.031263
GFM1,4,0.70195,0.48626,0.723629,12955,0,0.022602,0.79443,0.90567,1,14758,0,0.022602
KCNK9,4,0.70199,0.48626,0.723629,12956,0,0.028055,0.27946,0.49524,1,6540,1,0.028055
FOXI3,4,0.70201,0.48626,0.723629,12957,0,0.068747,0.75452,0.87732,1,14003,0,0.068747
FOXR1,4,0.70203,0.48626,0.723629,12958,0,-0.040896,0.83217,0.92757,1,15487,0,-0.040896
FAM53C,4,0.70207,0.48626,0.723629,12959,0,-0.075761,0.93278,0.98059,1,17458,0,-0.075761
RASAL3,4,0.7021,0.48626,0.723629,12960,0,0.19339,0.085356,0.26639,1,2880,2,0.19339
TMEM2,4,0.70212,0.48626,0.723629,12961,0,0.12895,0.57128,0.71432,1,10668,1,0.12895
LURAP1,4,0.70214,0.48626,0.723629,12962,0,0.036419,0.37471,0.55424,1,7726,1,0.036419
ZNF2,4,0.70222,0.48626,0.723629,12963,0,-0.0084321,0.64435,0.78268,1,11943,0,-0.0084321
HDAC10,4,0.70224,0.48626,0.723629,12964,0,-0.053758,0.89985,0.96742,1,16801,0,-0.053758
C3orf58,4,0.70226,0.48626,0.723629,12965,0,0.068209,0.12138,0.32028,1,3788,2,0.068209
CFAP46,4,0.70229,0.48626,0.723629,12966,0,-0.053985,0.86655,0.95197,1,16143,0,-0.053985
MARCO,4,0.70231,0.48626,0.723629,12967,0,-0.078131,0.23761,0.46363,1,6101,1,-0.078131
PDPR,4,0.70233,0.48626,0.723629,12968,0,-0.068258,0.24282,0.46648,1,6147,1,-0.068258
C16orf82,3,0.70234,0.50707,0.733458,12969,0,-0.086626,0.61048,0.75448,1,11331,0,-0.086626
IRG1,4,0.70239,0.48626,0.723629,12970,0,-0.027566,0.52284,0.67284,1,9844,1,-0.027566
CCDC144A,4,0.70241,0.48626,0.723629,12971,0,-0.04022,0.79073,0.90082,1,14692,0,-0.04022
SFR1,4,0.70256,0.48626,0.723629,12972,0,-0.073703,0.43015,0.61307,1,8456,1,-0.073703
ZNF813,4,0.7026,0.48626,0.723629,12973,0,0.021369,0.18079,0.41577,1,5237,2,0.021369
UPK3BL,4,0.70264,0.48626,0.723629,12974,0,-0.0017907,0.61114,0.74427,1,11347,1,-0.0017907
PQLC3,4,0.70271,0.48626,0.723629,12975,0,0.15611,0.11579,0.30756,1,3619,2,0.15611
SUPT20HL1,4,0.70275,0.48626,0.723629,12976,0,-0.055004,0.93347,0.9808,1,17471,0,-0.055004
NLRP11,4,0.70286,0.48626,0.723629,12977,0,0.010631,0.52407,0.6743,1,9862,1,0.010631
SERGEF,4,0.70288,0.48626,0.723629,12978,0,-0.0099902,0.25335,0.4737,1,6266,1,-0.0099902
