,gene_symbol
1369,POLA1
1370,ACTL6B
1371,CDK8
1372,FAT4
1373,NBAS
1376,DEGS1
1377,CANT1
1379,RARB
1380,USP9X
1386,PUS1
1387,YARS2
1388,MED25
1389,GTPBP2
1390,ATP6V1A
1391,GATA3
1393,AGTPBP1
1394,CYFIP2
1395,ECM1
1396,EFEMP2
1397,EIF2B4
1399,EPCAM
1400,HERC1
1401,LMOD3
1402,MFF
1403,MRAS
1404,MYO18B
1405,PCDH12
1406,PIBF1
1407,PTRH2
1408,RPL10
1409,RPS26
1410,SPTBN4
1411,TRMT10A
1412,WFS1
1416,ASNS
1417,TRAPPC4
1418,ABCA4
1420,ACTA1
1425,AMPD2
1426,APC
1427,APOB
1428,ATP1A2
1429,BAP1
1431,BCHE
1433,CD46
1436,CP
1438,CTRC
1441,DARS2
1442,DES
1443,DGUOK
1444,DNMT3A
1445,DOK7
1452,FBXO11
1453,FGA
1460,FOXL2
1462,GABRA1
1463,GBE1
1465,GRIA2
1467,GYG1
1470,HTT
1471,IL12B
1472,IL7R
1473,KIT
1476,LMNA
1480,MECOM
1482,MLH1
1485,MOCS1
1486,MPL
1488,MYOC
1489,NCF2
1490,NHLRC1
1491,NIPAL4
1493,NNT
1496,OPA1
1497,PCSK1
1499,PINK1
1502,PPARG
1503,PROS1
1504,PRPH2
1505,RASA1
1506,REEP1
1507,RHO
1511,SCN2A
1512,SCN5A
1514,SDHB
1515,SERPINC1
1518,SH3TC2
1519,SLC19A2
1522,SLC3A1
1523,SLC45A2
1524,SLCO2A1
1526,SNCA
1527,SNRNP200
1530,TARDBP
1531,TBX19
1532,TERC
1533,TERT
1535,TMEM127
1536,TNNT2
1539,TTC21B
1546,ABCB4
1549,ACADS
1551,ADGRG1
1553,AICDA
1555,ALG1
1556,ANG
1558,APOE
1559,APRT
1560,AR
1562,ARMC5
1565,ATL1
1568,ATP1A3
1572,ATXN2
1573,AVPR2
1574,AXIN2
1578,BEST1
1580,BMPR1A
1582,BRCA1
1583,BRCA2
1585,CACNA1A
1589,CD40LG
1590,CDAN1
1591,CDH1
1595,CHEK2
1598,CLCN5
1603,COL17A1
1605,COL5A1
1607,CRLF1
1612,CTSC
1613,CUBN
1614,CYBB
1615,CYLD
1617,CYP19A1
1618,DCLRE1C
1626,DSC2
1627,DSG2
1629,EFNB1
1630,EGFR
1632,EMD
1633,EPHB4
1635,ETV6
1637,F10
1640,FAS
1642,FERMT1
1646,FIG4
1647,FLCN
1651,G6PD
1655,GCK
1664,GP1BA
1666,GUCY2D
1667,HBA1
1677,INVS
1678,ITGA2B
1679,ITGB2
1680,ITGB4
1682,JPH3
1683,KCNA1
1685,KCNE1
1686,KCNH2
1688,KISS1R
1689,KMT2B
1690,KMT2D
1692,KRIT1
1693,KRT14
1694,KRT5
1695,KRT9
1697,LCA5
1703,MAX
1706,MET
1710,MPZL2
1712,MYBPC3
1714,MYH14
1715,MYH7
1716,NAA15
1719,NF2
1721,NOP56
1724,OCA2
1727,PABPN1
1729,PCDH19
1731,PDX1
1734,PFKM
1735,PHIP
1736,PHKA2
1737,PLA2G6
1740,PMP22
1748,PRKCG
1749,PRKCSH
1750,PRNP
1751,PROKR2
1752,PRPF31
1756,AARS2
1759,ABCD1
1760,ABCG5
1765,AMHR2
1768,ATXN3
1771,BMPR2
1772,C3
1775,COL3A1
1776,CPLANE1
1782,DNAH11
1783,DSG1
1784,DUOX2
1788,EYS
1789,F13A1
1790,F7
1792,FECH
1795,FLG
1799,GARS1
1802,GHRHR
1803,GJB2
1806,HFE
1807,HNF1A
1812,LDLR
1813,LPIN1
1814,LPL
1815,LRRK2
1816,MPZ
1817,MSH6
1819,NOTCH1
1820,NOTCH3
1825,OTOA
1826,OTOG
1829,PCDH15
1830,PDE6B
1831,PHYH
1832,PKD1
1834,PKLR
1837,PRKN
1838,PRODH
1841,RPS24
1842,RYR2
1847,SFTPC
1849,SLC7A9
1851,SPG7
1852,SPTA1
1854,TBP
1856,TRIOBP
1861,UMOD
1862,USH1C
1863,USH1G
1865,VWF
1866,FANCB
1868,COG7
1869,SLC6A3
1870,ALG8
1874,PEX13
1875,AP1S2
1876,GLI2
1877,PEX16
1880,UVSSA
1881,WNT3
1882,ZMPSTE24
1883,ASPM
1884,SMAD3
1885,COG1
1886,ALS2
1887,LHX4
1888,UBE2A
1889,PEX3
1892,RPS19
1893,MOCS2
1897,PEX14
1899,ALG3
1901,COG4
1902,TBX22
1907,NODAL
1908,EZH2
1909,TK2
1910,SUCLG1
1911,FANCI
1913,TSEN54
1914,COG8
1917,ARF1
1918,WDR37
1919,KIF12
1920,THSD1
1921,RAG1
1923,RB1
1924,RDH5
1927,RPGR
1934,SAMHD1
1936,SCNN1A
1937,SDHD
1938,SEC63
1939,SETX
1941,SGCE
1946,SLC24A5
1947,SLC26A3
1948,SLC26A4
1951,SLC39A4
1953,SLC5A1
1956,SMARCE1
1958,SPATA7
1963,STXBP2
1964,SYNE1
1968,TFR2
1970,TLK2
1973,TOP3A
1974,TP53
1976,TRAF7
1978,TTR
1979,TUBB8
1980,UNC13D
1982,WAS
1983,WRN
1986,ZNF292
1987,PAN2
1990,ADAM9
1991,ADAMTS17
1992,AFG3L2
1994,ATAD3A
1996,BCL11B
1999,C19orf12
2001,CACNA1D
2002,CAMK2B
2003,CHD3
2004,CIC
2005,CNGA3
2006,COL1A2
2008,CSNK2A1
2009,CSNK2B
2010,CYB5R3
2011,CYP4V2
2016,GABRB2
2018,GFPT1
2020,GNAO1
2021,H1-4
2022,H3-3A
2024,HOXB13
2025,HSPB1
2028,IKZF1
2030,KATNB1
2031,KIF5A
2032,KLHL7
2034,LRP6
2036,MEIS2
2039,NDRG1
2040,NFIA
2044,POLR3A
2050,PRSS1
2051,PYCR2
2052,RLIM
2056,SCN3A
2059,SIN3A
2060,SLC6A1
2062,SMARCC2
2064,SPAST
2065,SPECC1L
2066,SQSTM1
2067,STAT5B
2068,SUZ12
2069,SZT2
2070,TAF1
2071,TBC1D32
2074,TRRAP
2076,UBTF
2077,USP18
2078,VARS1
2079,WDR45
2080,WNT10A
2081,YWHAG
2082,AARS1
2084,TRIO
2086,ATR
2088,ABCA1
2090,ALB
2091,CDC73
2092,CDHR1
2094,COQ8B
2095,DDX41
2097,FLNC
2098,G6PC3
2104,LCAT
2105,MME
2107,MTTP
2111,PPOX
2112,QRICH1
2113,REN
2114,RUNX1
2115,SAMD9L
2118,SLC34A2
2119,SLC38A8
2120,SLC7A7
2123,STK4
2125,TNNI3
2126,VPS13A
2128,ARFGEF1
2129,CACNA1G
2130,GABRA3
2132,GNB1
2134,KIF14
2135,MICOS13
2136,MYORG
2138,TUBB4A
2140,AASS
2147,ABHD12
2149,ACAD8
2153,ACADSB
2157,ACSF3
2158,ACSL4
2160,ACTA2
2161,ACTB
2162,ACTC1
2163,ACTG1
2165,ACTN1
2166,ACTN2
2167,ACVRL1
2170,ADA2
2172,ADAMTS13
2173,ADAMTS18
2174,ADGRV1
2175,ADK
2187,AIFM1
2190,AKT3
2191,ALAS2
2197,ALG13
2200,ALG9
2201,ALK
2203,ALPK3
2212,ANGPTL3
2213,ANK1
2214,ANK2
2216,ANKRD26
2217,ANKS6
2218,ANO5
2219,ANOS1
2220,ANXA11
2221,AP1S1
2223,AP3B1
2224,AP4B1
2226,AP4M1
2227,AP4S1
2228,AP5Z1
2233,APOL1
2237,ARID2
2238,ARL13B
2239,ARL6IP1
2240,ARMC2
2242,ARPC1B
2248,ASH1L
2254,ASXL2
2256,ATCAY
2257,ATF6
2261,ATP13A2
2262,ATP13A3
2265,ATP6AP2
2268,ATP7B
2272,B4GALNT1
2273,B9D1
2274,BAG3
2277,BARD1
2278,BCAP31
2279,BCAT2
2282,BCKDK
2283,BCL10
2289,BLNK
2290,BLOC1S6
2293,BPTF
2295,BRAT1
2301,BRD4
2304,BRSK2
2306,BSCL2
2311,BVES
2312,C1QB
2313,C1QBP
2314,C2CD3
2316,C9orf72
2317,CA5A
2318,CABP2
2319,CACNA1F
2320,CACNA2D4
2321,CALM1
2322,CALM2
2323,CALM3
2326,CAPN5
2327,CARD11
2331,CASQ2
2335,CAV1
2336,CAV3
2341,CCDC103
2345,CD19
2346,CD247
2347,CD320
2348,CD3D
2349,CD3E
2350,CD3G
2351,CD40
2353,CD79A
2354,CD79B
2355,CDC42
2356,CDC45
2363,CDK13
2364,CDK4
2365,CDK5RAP2
2367,CDKN1B
2368,CDKN2A
2370,CEBPA
2373,CEP164
2376,CERKL
2377,CFAP300
2378,CFAP43
2379,CFH
2380,CFI
2381,CFL2
2382,CHD2
2385,CHD8
2388,CHMP2B
2390,CHRNB2
2393,CIITA
2394,CLCN4
2396,CLDN14
2401,CLPP
2402,CLRN1
2403,CNGA1
2405,CNGB1
2406,CNGB3
2407,CNKSR2
2408,CNNM4
2409,CNOT1
2410,CNOT3
2412,COCH
2441,COL5A2
2442,COL6A1
2444,COL6A2
2448,COL7A1
2452,COQ4
2453,CORO1A
2454,COX20
2456,CPAMD8
2458,CPOX
2460,CPT1A
2462,CR2
2463,CRADD
2469,CSPP1
2470,CSRP3
2473,CTH
2474,CTLA4
2475,CTNNA1
2479,CTSF
2481,CUL3
2484,CXCR4
2490,DCAF17
2492,DCDC2
2504,DHTKD1
2505,DIAPH1
2506,DICER1
2513,DLG4
2515,DNAAF1
2518,DNAH1
2520,DNAH17
2521,DNAH5
2522,DNAI1
2523,DNAI2
2524,DNAJB2
2525,DNAJB6
2526,DNAJC12
2527,DNAJC19
2528,DNM1
2529,DNM1L
2530,DNM2
2532,DNMT1
2533,DOCK2
2534,DOCK6
2535,DOCK7
2540,DSP
2542,DST
2543,DTNBP1
2547,EARS2
2548,EBF3
2550,ECHS1
2552,EEF1A2
2553,EFEMP1
2558,EHMT1
2559,EIF2AK4
2560,EIF2S3
2561,ELANE
2563,ENG
2564,ENTPD1
2568,EPM2A
2571,ERCC4
2575,ERF
2577,ESPN
2578,ESRRB
2587,EYA4
2591,F11
2592,F12
2594,F13B
2595,F2
2597,F5
2600,F8
2601,F9
2611,FANCL
2612,FASTKD2
2615,FBXL4
2616,FCHO1
2618,FERMT3
2620,FGB
2622,FGD4
2635,FGG
2638,FITM2
2641,FLAD1
2649,FMO3
2656,FOXP2
2658,FRMPD4
2662,FXN
2668,GABRG2
2669,GAD1
2676,GAN
2677,GANAB
2679,GATA1
2683,GATAD2B
2691,GDAP1
2692,GDF2
2693,GFI1B
2694,GGCX
2695,GIPC3
2696,GJB1
2698,GJB6
2700,GLA
2702,GLS
2706,GNAI1
2709,GNAT2
2716,GP1BB
2717,GP6
2718,GP9
2720,GPR143
2721,GPR179
2723,GPT2
2724,GREM1
2728,GRIN1
2732,GRIN2D
2733,GRIP1
2734,GRK1
2736,GRN
2738,GRXCR1
2739,GSDME
2740,GSS
2746,HAAO
2747,HACD1
2750,HADHB
2751,HBA2
2757,HDAC8
2759,HEPACAM
2763,HGD
2768,HMBS
2771,HMX1
2777,HNRNPU
2779,HPD
2782,HPS3
2783,HPS4
2784,HPS5
2785,HPS6
2792,HSPB8
2795,HTRA2
2799,ICOS
2800,IDH2
2805,IGHM
2807,IKBKB
2812,IL21R
2815,ILDR1
2816,INF2
2818,INS
2823,ITGB3
2824,ITK
2832,KATNIP
2834,KCNA2
2838,KCNH1
2841,KCNH5
2844,KCNK3
2851,KCNQ4
2856,KDM6B
2857,KDR
2858,KDSR
2861,KIF21A
2865,KIZ
2867,KLKB1
2870,KMT2C
2873,KMT5B
2874,KNG1
2876,KYNU
2882,LDLRAP1
2883,LGI1
2884,LHFPL5
2885,LIFR
2887,LINS1
2889,LMAN1
